region,region_code,metric,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
North East,TLC,emp_total_jobs,1012000,1011000,1006000,1001000,1006000,1034000,1063000,1037000,1064000,1052000,1070000,1040000,1087000,1069000,1102000
North West,TLD,emp_total_jobs,3012000,2980000,2977000,2987000,3017000,3086000,3162000,3246000,3298000,3328000,3406000,3316000,3439000,3485000,3555000
Yorkshire & Humber,TLE,emp_total_jobs,2224000,2202000,2184000,2164000,2193000,2261000,2330000,2340000,2381000,2390000,2397000,2343000,2438000,2473000,2497000
East Midlands,TLF,emp_total_jobs,1907000,1906000,1902000,1903000,1907000,1947000,2010000,2062000,2062000,2070000,2089000,2049000,2109000,2167000,2137000
West Midlands,TLG,emp_total_jobs,2302000,2312000,2302000,2323000,2340000,2404000,2465000,2505000,2579000,2577000,2593000,2564000,2605000,2663000,2701000
East of England,TLH,emp_total_jobs,2423000,2400000,2405000,2419000,2447000,2557000,2629000,2701000,2763000,2764000,2784000,2780000,2829000,2821000,2881000
London,TLI,emp_total_jobs,4143000,4206000,4304000,4447000,4560000,4737000,4924000,5019000,5138000,5148000,5252000,5121000,5329000,5618000,5700000
South East,TLJ,emp_total_jobs,3727000,3783000,3756000,3780000,3825000,3908000,4073000,4147000,4107000,4147000,4214000,4107000,4153000,4269000,4325000
South West,TLK,emp_total_jobs,2314000,2284000,2238000,2232000,2266000,2352000,2387000,2420000,2437000,2469000,2497000,2474000,2538000,2568000,2598000
Wales,TLL,emp_total_jobs,1171000,1166000,1170000,1178000,1187000,1209000,1232000,1256000,1243000,1270000,1269000,1259000,1259000,1277000,1300000
Scotland,TLM,emp_total_jobs,2407000,2331000,2350000,2319000,2348000,2437000,2462000,2481000,2471000,2508000,2501000,2445000,2521000,2524000,2562000
